id,name,plnt_typ,gro_trig,nfix_co,days_mat,bm_e,harv_idx,lai_pot,frac_hu1,lai_max1,frac_hu2,lai_max2,hu_lai_decl,dlai_rate,can_ht_max,rt_dp_max,tmp_opt,tmp_base,frac_n_yld,frac_p_yld,frac_n_em,frac_n_50,frac_n_mat,frac_p_em,frac_p_50,frac_p_mat,harv_idx_ws,usle_c_min,stcon_max,vpd,frac_stcon,ru_vpd,co2_hi,bm_e_hi,plnt_decomp,lai_min,bm_tree_acc,yrs_mat,bm_tree_max,ext_co,leaf_tov_mn,leaf_tov_mx,bm_dieoff,rt_st_beg,rt_st_end,plnt_pop1,frac_lai1,plnt_pop2,frac_lai2,frac_sw_gro,wnd_live,wnd_dead,wnd_flat,description
1,agrc,cold_annual,temp_gro,0,110,30,0.4,4,0.05,0.05,0.45,0.95,0.5,1,0.9,1.3,18,0,0.025,0.0022,0.0663,0.0255,0.0148,0.0053,0.002,0.0012,0.2,0.03,0.006,4,0.75,6,660,39,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
2,agrl,warm_annual,temp_gro,0,110,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,1,1,2,30,11,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.25,0.2,0.005,4,0.75,8.5,660,36,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
3,agrr,warm_annual,temp_gro,0,110,39,0.5,3,0.15,0.05,0.5,0.95,0.7,1,2.5,2,25,8,0.014,0.0016,0.047,0.0177,0.0138,0.0048,0.0018,0.0014,0.3,0.2,0.007,4,0.75,7.2,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
4,alfa,perennial,temp_gro,0.5,0,20,0.9,4,0.15,0.01,0.5,0.95,0.9,0.5,0.9,3,20,4,0.025,0.0035,0.0417,0.029,0.02,0.0035,0.0028,0.002,0.9,0.01,0.01,4,0.75,10,660,35,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
5,almd,perennial,temp_gro,0,0,16.1,0.05,1.2,0.05,0.05,0.4,0.95,0.99,1,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.001,0.0036,4,0.75,8,660,18,0.05,0.75,0.3,10,50,0.61,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
6,appl,perennial,temp_gro,0,0,15,0.1,4,0.1,0.15,0.5,0.75,0.99,1,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.007,4,0.75,3,660,20,0.05,0.75,0.3,10,50,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
7,aspn,perennial,temp_gro,0,0,30,0.76,5,5,0.05,40,0.95,0.99,1,27,3,30,10,0.0015,0.0003,0.005,0.003,0.002,0.0005,0.0004,0.0003,0,0.001,0.0007,-6.5,1,8,660,35,0.05,0.75,0.3,50,100,0.64,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
8,aspr,perennial,temp_gro,0,0,90,0.8,4.2,0.25,0.23,0.4,0.86,1,0.1,0.5,2,24,10,0.063,0.0067,0.062,0.05,0.04,0.005,0.004,0.002,0.95,0.2,0.006,4,0.75,5,660,95,0.05,0.1,0.1,1,20,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
9,bana,perennial,temp_gro,0,0,30,0.44,4.5,0.05,0.05,0.4,0.95,0.99,1,7.5,3.5,30,10,0.0064,0.0008,0.06,0.032,0.016,0.003,0.002,0.001,0.01,0.001,0.0036,4,0.75,8,660,31,0.05,0.75,0.3,10,50,0.45,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
10,barl,cold_annual,temp_gro,0,105,35,0.54,4,0.15,0.01,0.45,0.95,0.6,1,1.2,1.3,25,0,0.021,0.0017,0.059,0.0226,0.0131,0.0057,0.0022,0.0013,0.2,0.01,0.008,4,0.75,7,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
11,barl100,cold_annual,temp_gro,0,100,35,0.54,4,0.15,0.01,0.45,0.95,0.6,1,1.2,1.3,25,0,0.021,0.0017,0.059,0.0226,0.0131,0.0057,0.0022,0.0013,0.2,0.01,0.008,4,0.75,7,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
12,barl105,cold_annual,temp_gro,0,105,35,0.54,4,0.15,0.01,0.45,0.95,0.6,1,1.2,1.3,25,0,0.021,0.0017,0.059,0.0226,0.0131,0.0057,0.0022,0.0013,0.2,0.01,0.008,4,0.75,7,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
13,bbls,perennial,temp_gro,0,0,14,0.9,3,0.05,0.1,0.25,0.7,0.35,1,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,2,0.3,2,30,0.36,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
14,berm,perennial,temp_gro,0,0,35,0.9,4,0.05,0.05,0.49,0.95,0.99,1,0.5,2,25,12,0.0234,0.0033,0.06,0.0231,0.0134,0.0084,0.0032,0.0019,0.9,0.003,0.005,4,0.75,10,660,36,0.05,2,0.3,2,30,1,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
15,blug,perennial,temp_gro,0,0,18,0.9,2,0.05,0.05,0.3,0.7,0.35,1,0.2,1.4,25,12,0.016,0.0022,0.02,0.01,0.006,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,31,0.05,2,0.3,2,30,1.4,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
16,bocu,perennial,temp_gro,0,0,30,0.9,4,0.15,0.01,0.5,0.95,0.8,1,1.5,2,15,0,0.0234,0.0033,0.056,0.021,0.012,0.0099,0.0022,0.0019,0.9,0.003,0.005,4,0.75,8,660,39,0.05,0.75,0.3,30,30,0.65,12,3,0.1,0.4,0.2,22,0.05,40,0.71,0.5,0,0,0,
17,broc,cold_annual,temp_gro,0,90,26,0.8,4.2,0.25,0.23,0.4,0.86,1,0.1,0.5,0.6,18,4,0.0512,0.0071,0.062,0.009,0.007,0.005,0.004,0.003,0.95,0.2,0.006,4,0.75,5,660,30,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
18,brom,perennial,temp_gro,0,0,35,0.9,3,0.45,0.02,0.8,0.95,0.85,1,0.8,1.3,25,6,0.0234,0.0033,0.04,0.024,0.016,0.0028,0.0017,0.0011,0.9,0.003,0.005,4,0.75,8,660,45,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
19,bros,perennial,temp_gro,0,0,35,0.9,5,0.15,0.01,0.5,0.95,0.85,1,1.2,2,25,8,0.0234,0.0033,0.04,0.024,0.016,0.0028,0.0017,0.0011,0.9,0.003,0.003,4,0.75,8,660,45,0.05,2,0.3,2,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
20,bsvg,perennial,temp_gro,0,0,34,0.9,1.5,0.05,0.1,0.25,0.7,0.35,1,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,0.15,39,61,74,80,12,3,0,0,0,0,0,0,0,0.5,0,0,0,
21,cabg,perennial,temp_gro,0,90,19,0.8,3,0.25,0.23,0.4,0.86,1,0.1,0.5,0.6,18,1,0.0259,0.0031,0.062,0.007,0.004,0.005,0.0035,0.002,0.95,0.2,0.006,4,0.75,5,660,25,0.05,0.75,0.8,1,30,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
22,cana,warm_annual,temp_gro,0,100,34,0.3,4.5,0.15,0.02,0.45,0.95,0.5,0.3,1.3,1.4,21,5,0.038,0.0079,0.044,0.0164,0.0128,0.0074,0.0037,0.0023,0.01,0.2,0.006,4,0.75,10,660,40,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
23,cang,perennial,temp_gro,0,0,35,0.1,5,5,0.17,40,0.9,0.5,1,1,0.2,25,3,0.016,0.0022,0.35,0.015,0.0038,0.0014,0.001,0.0007,0.01,0.001,0.0074,-6.5,1,8,660,54,0.05,0.01,0.3,10,50,0.33,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,
